0,Continental,"http://maps.google.com/maps/api/staticmap?sensor=false&center=0.000000,-90.000000&zoom=0&size=400x400&path=color:0xff0000ff|weight:5|-45.000000,-135.000000|-45.000000,-45.000000|45.000000,-45.000000|45.000000,-135.000000|-45.000000,-135.000000",,
1,US,"http://maps.google.com/maps/api/staticmap?sensor=false&center=22.500000,-67.500000&zoom=1&size=400x400&path=color:0xff0000ff|weight:5|-0.000000,-90.000000|-0.000000,-45.000000|45.000000,-45.000000|45.000000,-90.000000|-0.000000,-90.000000",,
2,,"http://maps.google.com/maps/api/staticmap?sensor=false&center=33.018756,-78.690068&zoom=2&size=400x400&path=color:0xff0000ff|weight:5|21.037511,-90.000000|21.037511,-67.380135|45.000000,-67.380135|45.000000,-90.000000|21.037511,-90.000000",,
3,Ontario,"http://maps.google.com/maps/api/staticmap?sensor=false&center=38.452469,-73.380240&zoom=3&size=400x400&path=color:0xff0000ff|weight:5|32.399840,-79.380345|32.399840,-67.380135|44.505098,-67.380135|44.505098,-79.380345|32.399840,-79.380345",,
4,NY + PA,"http://maps.google.com/maps/api/staticmap?sensor=false&center=41.649847,-76.422753&zoom=4&size=400x400&path=color:0xff0000ff|weight:5|38.794595,-79.380345|38.794595,-73.465162|44.505098,-73.465162|44.505098,-79.380345|38.794595,-79.380345",,
5,NJ plus a bit more,"http://maps.google.com/maps/api/staticmap?sensor=false&center=40.270821,-74.960735&zoom=5&size=400x400&path=color:0xff0000ff|weight:5|38.794595,-76.456309|38.794595,-73.465162|41.747047,-73.465162|41.747047,-76.456309|38.794595,-76.456309",,
6,CT,"http://maps.google.com/maps/api/staticmap?sensor=false&center=40.821777,-74.216399&zoom=6&size=400x400&path=color:0xff0000ff|weight:5|40.084789,-74.967637|40.084789,-73.465162|41.558765,-73.465162|41.558765,-74.967637|40.084789,-74.967637",,
7,,"http://maps.google.com/maps/api/staticmap?sensor=false&center=40.456248,-73.841547&zoom=7&size=400x400&path=color:0xff0000ff|weight:5|40.084789,-74.217933|40.084789,-73.465162|40.827707,-73.465162|40.827707,-74.217933|40.084789,-74.217933",,
8,Metro NYC,"http://maps.google.com/maps/api/staticmap?sensor=false&center=40.642708,-74.029919&zoom=8&size=400x400&path=color:0xff0000ff|weight:5|40.457710,-74.217933|40.457710,-73.841906|40.827707,-73.841906|40.827707,-74.217933|40.457710,-74.217933",,8/16/2012
9,Brooklyn + Queens,"http://maps.google.com/maps/api/staticmap?sensor=false&center=40.708788,-73.935959&zoom=9&size=400x400&path=color:0xff0000ff|weight:5|40.616308,-74.030012|40.616308,-73.841906|40.801268,-73.841906|40.801268,-74.030012|40.616308,-74.030012",,
10,Manhattan below Central Park,"http://maps.google.com/maps/api/staticmap?sensor=false&center=40.755074,-73.982997&zoom=10&size=400x400&path=color:0xff0000ff|weight:5|40.708880,-74.030012|40.708880,-73.935982|40.801268,-73.935982|40.801268,-74.030012|40.708880,-74.030012",,
11,1/4 of Manhattan,"http://maps.google.com/maps/api/staticmap?sensor=false&center=40.738663,-74.006508&zoom=11&size=400x400&path=color:0xff0000ff|weight:5|40.715564,-74.030012|40.715564,-73.983003|40.761761,-73.983003|40.761761,-74.030012|40.715564,-74.030012",,
12,Canal - 14th Street,"http://maps.google.com/maps/api/staticmap?sensor=false&center=40.727116,-73.994756&zoom=12&size=400x400&path=color:0xff0000ff|weight:5|40.715564,-74.006509|40.715564,-73.983003|40.738668,-73.983003|40.738668,-74.006509|40.715564,-74.006509",,
13,Manhattan Neighborhood,"http://maps.google.com/maps/api/staticmap?sensor=false&center=40.723008,-74.000633&zoom=13&size=400x400&path=color:0xff0000ff|weight:5|40.717232,-74.006509|40.717232,-73.994756|40.728784,-73.994756|40.728784,-74.006509|40.717232,-74.006509",,
14,,"http://maps.google.com/maps/api/staticmap?sensor=false&center=40.725063,-73.997695&zoom=14&size=400x400&path=color:0xff0000ff|weight:5|40.722175,-74.000633|40.722175,-73.994756|40.727951,-73.994756|40.727951,-74.000633|40.722175,-74.000633",,
15,,"http://maps.google.com/maps/api/staticmap?sensor=false&center=40.723619,-73.996225&zoom=15&size=400x400&path=color:0xff0000ff|weight:5|40.722175,-73.997695|40.722175,-73.994756|40.725063,-73.994756|40.725063,-73.997695|40.722175,-73.997695",,
16,About a block,"http://maps.google.com/maps/api/staticmap?sensor=false&center=40.724341,-73.996960&zoom=16&size=400x400&path=color:0xff0000ff|weight:5|40.723619,-73.997695|40.723619,-73.996225|40.725063,-73.996225|40.725063,-73.997695|40.723619,-73.997695",,
17,,"http://maps.google.com/maps/api/staticmap?sensor=false&center=40.724084,-73.997327&zoom=17&size=400x400&path=color:0xff0000ff|weight:5|40.723723,-73.997695|40.723723,-73.996960|40.724445,-73.996960|40.724445,-73.997695|40.723723,-73.997695",,
18,,"http://maps.google.com/maps/api/staticmap?sensor=false&center=40.724213,-73.997144&zoom=18&size=400x400&path=color:0xff0000ff|weight:5|40.724032,-73.997327|40.724032,-73.996960|40.724393,-73.996960|40.724393,-73.997327|40.724032,-73.997327",,
19,,"http://maps.google.com/maps/api/staticmap?sensor=false&center=40.724277,-73.997052&zoom=19&size=400x400&path=color:0xff0000ff|weight:5|40.724187,-73.997144|40.724187,-73.996960|40.724367,-73.996960|40.724367,-73.997144|40.724187,-73.997144",,
